Students	10000
1	36 35 29 37
2	18 31 34 4
3	40 16 29 10
4	28 18 23 11
5	33 36 32 6
6	21 36 11 34
7	21 17 35 19
8	5 9 30 10
9	36 7 26 1
10	18 34 8 28
11	37 29 12 38
12	34 26 18 30
13	25 32 18 11
14	21 19 4 26
15	9 24 20 30
16	10 29 23 2
17	8 30 10 23
18	29 15 16 37
19	4 17 5 2
20	35 4 27 3
21	12 7 28 26
22	37 36 14 25
23	25 37 4 24
24	13 24 2 18
25	26 17 18 38
26	30 6 19 4
27	19 33 26 24
28	34 31 10 20
29	5 36 39 33
30	17 1 13 35
31	2 20 5 30
32	5 15 16 20
33	11 17 38 10
34	3 12 14 19
35	12 28 26 7
36	20 39 26 10
37	17 37 38 24
38	22 5 8 36
39	31 9 28 40
40	14 38 34 24
41	37 21 2 12
42	9 12 32 23
43	24 32 38 3
44	29 32 27 9
45	29 25 7 12
46	20 26 1 22
47	30 19 38 14
48	34 11 6 1
49	37 40 23 26
50	29 35 4 9
51	38 34 13 14
52	12 40 28 21
53	26 4 31 7
54	16 1 24 28
55	31 6 18 19
56	34 3 28 6
57	21 17 16 40
58	20 32 38 7
59	26 18 17 12
60	10 22 31 26
61	13 3 39 35
62	18 29 20 21
63	31 1 3 21
64	11 15 3 6
65	5 34 35 16
66	2 29 28 6
67	5 34 13 23
68	15 3 29 38
69	16 34 2 33
70	38 35 18 22
71	11 21 13 25
72	34 38 21 31
73	34 22 19 33
74	5 22 32 27
75	11 20 29 35
76	15 12 19 25
77	6 35 7 10
78	37 20 34 8
79	2 40 26 31
80	28 7 30 37
81	18 14 11 13
82	6 12 30 11
83	33 6 8 18
84	26 37 35 3
85	29 8 14 36
86	34 21 38 5
87	17 6 4 5
88	3 38 35 32
89	14 9 6 18
90	34 24 28 9
91	9 18 27 10
92	28 39 14 20
93	38 37 39 31
94	11 15 5 18
95	36 20 30 35
96	24 4 6 40
97	30 15 37 18
98	23 28 20 13
99	34 21 18 35
100	34 10 39 16
101	7 35 1 26
102	24 12 15 11
