Course	Room	Teacher	Time	Students
217	STO14	146	4	215 283 425 483 536 554 590 635 650 723 740 762 829 851 880 894 999 1037 1063 
214	HLL112	241	1	452 711 982 1169 
213	STO14	282	0	42 237 279 341 382 475 480 521 640 803 809 990 1090 
565	HLL106	273	9	42 91 148 153 169 175 279 464 508 648 660 720 894 1001 1067 1128 
665	HLL106	323	1	238 240 374 561 654 785 835 856 958 1102 1182 
664	GST103	196	1	32 739 828 1002 
662	STO102	248	1	102 548 556 572 781 1149 
133	STO18	27	0	142 218 347 1063 
132	STO301	320	1	197 337 465 592 715 732 755 808 844 897 1051 1147 
136	STO16	132	1	167 790 984 
134	STOAUD	160	1	72 207 598 600 669 698 718 889 906 1008 1018 
495	STO18	29	6	119 207 311 356 866 
127	STO10	127	1	133 165 188 209 272 282 436 502 702 713 823 978 
492	SHA410	101	5	275 641 788 967 
692	OBS	330	3	53 186 195 303 331 371 450 625 642 674 679 721 734 787 939 1007 1028 1030 1059 1102 
1	STO207	239	1	63 570 723 
26	HLL6	113	5	197 229 273 414 495 517 723 876 885 1104 1125 
268	STO207	54	2	102 113 321 376 379 383 478 666 712 768 858 909 923 1089 1145 
21	STO119	72	9	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153 
22	STO207	122	8	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136 
223	UN111	170	1	141 222 1071 
28	STO301	145	0	117 358 595 657 677 865 903 935 1115 
29	STO16	215	16	49 84 113 116 198 238 254 272 322 537 574 629 683 727 736 778 944 946 961 1015 1048 1094 1113 1152 1181 
344	CHSAUD	248	0	91 107 108 152 196 393 418 484 490 499 530 533 538 572 666 763 773 800 864 877 879 887 908 909 915 971 987 997 1047 1093 1127 1156 
406	HLL6	317	0	57 94 346 785 
347	STO301	19	3	375 420 439 658 789 857 882 902 907 964 984 1044 
546	CHS104	227	6	25 52 60 70 84 112 179 312 322 368 469 529 535 605 617 662 686 688 714 744 831 876 979 992 1064 1103 
4	STO16	151	0	21 166 643 658 704 
401	HLL107	14	3	326 415 636 1122 
545	GST103	228	4	264 568 628 684 701 717 857 916 
548	ESTW309	107	10	46 106 159 164 230 250 332 343 355 410 491 551 600 601 645 664 671 672 697 741 810 821 841 883 893 949 988 998 1000 1054 1110 1140 1160 
549	HLL6	77	12	3 7 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1080 1166 
408	SHA410	21	3	74 79 150 163 494 517 
522	STO16	199	2	893 949 
454	HLL6	290	14	62 86 89 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1034 1056 1109 1112 1159 1180 
718	STO301	202	8	75 204 544 676 889 
717	STO119	182	8	76 144 176 216 249 262 263 275 330 511 550 826 1024 1026 1161 
675	HLL106	76	4	28 188 197 202 273 537 546 560 795 827 868 961 1060 1073 
714	STO16	67	5	1 47 68 81 185 202 227 268 423 456 599 695 701 704 736 755 806 813 884 926 927 937 940 1073 1120 1122 
121	GST103	41	7	20 47 129 251 252 501 633 647 724 874 1064 
123	STO102	170	0	129 225 334 534 835 907 1073 
124	SHA217	297	0	13 433 569 579 737 
24	STO14	23	7	83 156 266 344 476 497 545 556 624 632 674 761 784 903 917 1181 
128	STO18	87	3	93 102 347 435 666 1144 1176 
129	STO18	118	1	27 375 616 780 1003 1150 
669	STO16	224	14	95 126 151 153 169 306 411 475 480 508 514 521 552 648 660 894 1001 1025 1086 1118 
457	OBS	46	14	65 66 162 192 199 212 225 399 441 510 625 675 678 725 749 771 792 954 987 1066 
736	STO10	311	4	583 
59	UN111	196	0	75 780 802 
58	OBS	157	7	41 53 88 140 203 287 342 430 479 595 665 670 680 786 843 886 967 1024 1053 1062 1179 
